id,created_at,updated_at,is_watched,show_on,video_details_id_id,hotel_id_id,flag
97,"2018-05-07 09:52:41.613525","2018-04-05 05:50:01.797273",1,"2018-05-07 09:52:41.613570",137,2,R
98,"2018-05-07 09:52:41.792661","2018-04-05 05:50:01.812097",1,"2018-05-07 09:52:41.792708",153,2,R
99,"2018-05-07 09:52:41.937490","2018-04-05 05:50:01.822193",1,"2018-05-07 09:52:41.937534",154,2,R
100,"2018-05-07 09:52:42.040968","2018-04-05 05:50:01.832336",1,"2018-05-07 09:52:42.041024",157,2,R
101,"2018-05-07 09:52:42.150459","2018-04-05 05:50:01.842860",1,"2018-05-07 09:52:42.150504",158,2,R
102,"2018-04-24 06:53:27.522571","2018-04-24 06:53:27.521494",1,"2018-04-24 06:53:27.522584",159,2,R
103,"2018-04-26 06:58:07.340909","2018-04-26 06:58:07.340059",1,"2018-04-26 06:58:07.340922",138,2,R
104,"2018-05-07 09:52:42.253499","2018-04-07 07:20:59.894846",1,"2018-05-07 09:52:42.253544",2,4,T
105,"2018-05-07 09:52:42.355890","2018-04-07 07:20:59.904023",1,"2018-05-07 09:52:42.355956",35,4,T
106,"2018-05-07 09:52:42.458502","2018-04-07 07:20:59.912932",1,"2018-05-07 09:52:42.458530",37,4,T
107,"2018-05-07 09:52:42.559871","2018-04-07 07:20:59.925680",1,"2018-05-07 09:52:42.559887",71,4,R
108,"2018-05-07 09:52:42.661999","2018-04-07 07:20:59.935000",1,"2018-05-07 09:52:42.662043",72,4,R
109,"2018-05-07 09:52:42.764881","2018-04-07 07:33:30.231142",1,"2018-05-07 09:52:42.764925",134,4,T
110,"2018-04-12 11:39:18.215086","2018-04-12 11:39:18.214141",1,"2018-04-12 11:39:18.215100",134,6,T
111,"2018-05-07 09:52:42.868373","2018-04-07 08:14:52.146211",1,"2018-05-07 09:52:42.868418",2,6,R
112,"2018-05-07 09:52:42.974950","2018-04-07 08:14:52.155102",1,"2018-05-07 09:52:42.974971",35,6,R
113,"2018-05-07 09:52:43.081467","2018-04-07 08:14:52.164076",1,"2018-05-07 09:52:43.081498",37,6,R
114,"2018-05-07 09:52:43.183191","2018-04-07 08:14:52.176511",1,"2018-05-07 09:52:43.183226",134,6,T
115,"2018-05-07 09:52:43.285990","2018-04-07 08:14:52.189014",1,"2018-05-07 09:52:43.286011",163,6,T
116,"2018-05-07 09:52:43.400142","2018-04-07 09:04:15.562933",1,"2018-05-07 09:52:43.400159",2,7,R
117,"2018-05-07 09:52:43.531873","2018-04-07 09:04:15.572356",1,"2018-05-07 09:52:43.531905",35,7,R
118,"2018-05-07 09:52:43.662193","2018-04-07 09:04:15.582401",1,"2018-05-07 09:52:43.662210",37,7,R
119,"2018-05-07 09:52:43.768111","2018-04-07 09:04:15.595714",1,"2018-05-07 09:52:43.768142",23,7,T
120,"2018-05-07 09:52:43.870927","2018-04-07 09:04:15.608742",1,"2018-05-07 09:52:43.870959",18,7,R
121,"2018-05-07 09:52:43.980187","2018-04-07 09:04:15.617913",1,"2018-05-07 09:52:43.980220",19,7,R
122,"2018-05-07 09:52:44.089774","2018-04-07 09:04:15.631080",1,"2018-05-07 09:52:44.089817",7,7,T
123,"2018-05-07 09:52:44.192419","2018-04-07 09:04:15.640361",1,"2018-05-07 09:52:44.192461",10,7,T
124,"2018-05-07 09:52:44.312939","2018-04-07 09:04:15.653451",1,"2018-05-07 09:52:44.312988",14,7,R
125,"2018-05-07 09:52:45.833354","2018-04-07 09:04:15.662615",1,"2018-05-07 09:52:45.833404",15,7,R
