id,created_at,updated_at,subject,attribute,department,domain
156,"2018-03-09 19:42:33.184537",NULL,Taste,Cleanliness,Housekeeping,"Room Making"
157,"2018-03-09 19:42:33.574735",NULL,Taste,Quality,Housekeeping,"Room Making"
159,"2018-03-09 19:44:52.588645",NULL,Room,Quality,Hotel,Hotel
160,"2018-03-09 19:45:29.134263",NULL,Menu,Quality,Hotel,Hotel
162,"2018-03-09 19:43:04.981139",NULL,Adequacy,Quality,Hotel,Hotel
163,"2018-03-09 19:44:52.990289",NULL,Room,Location,Hotel,Hotel
164,"2018-03-09 19:44:00.973402",NULL,Cleanliness,Location,Hotel,Hotel
165,"2018-03-09 19:43:30.457472",NULL,Kitchen,Efficiency,Hotel,Hotel
166,"2018-03-09 19:47:28.364635",NULL,Room,Adequacy,Hotel,Hotel
167,"2018-03-09 19:43:31.252412",NULL,Beverage,Efficiency,"Food & Beverage",Service
168,"2018-03-09 19:43:31.653842",NULL,"Water Supply",Efficiency,"Food & Beverage",Service
169,"2018-03-09 19:43:33.657691",NULL,Staff,Accuracy,Hotel,Hotel
170,"2018-03-09 19:43:34.061400",NULL,Cleanliness,Value,Hotel,Hotel
171,"2018-03-09 19:43:34.459203",NULL,Value,Cleanliness,Housekeeping,"Room Making"
172,"2018-03-09 19:43:37.265130",NULL,Appliances,Efficiency,Hotel,Hotel
173,"2018-03-09 19:44:47.408097",NULL,Efficiency,Integrity/Maintenance,Housekeeping,Maintenance
174,"2018-03-09 19:43:39.257229",NULL,Services,Availability,Hotel,Hotel
175,"2018-03-09 19:43:41.281969",NULL,Room,Ambience,Housekeeping,Maintenance
176,"2018-03-09 19:43:41.675431",NULL,Room,Temperature,Housekeeping,Maintenance
177,"2018-03-09 19:43:43.286381",NULL,Snacks,Integrity/Maintenance,"Food & Beverage","Food Production"
178,"2018-03-09 19:43:43.685126",NULL,Snacks,Ambience,"Food & Beverage","Food Production"
179,"2018-03-09 19:43:44.087310",NULL,Snacks,Temperature,"Food & Beverage","Food Production"
180,"2018-03-09 19:43:44.888306",NULL,Beverage,Ambience,"Food & Beverage",Maintenance
181,"2018-03-09 19:43:45.280342",NULL,Beverage,Temperature,"Food & Beverage",Maintenance
182,"2018-03-09 19:43:45.680720",NULL,Snacks,Integrity/Maintenance,"Food & Beverage",Maintenance
183,"2018-03-09 19:43:46.082304",NULL,Snacks,Ambience,"Food & Beverage",Maintenance
184,"2018-03-09 19:43:46.479699",NULL,Snacks,Temperature,"Food & Beverage",Maintenance
185,"2018-03-09 19:43:47.280198",NULL,Appliances,Ambience,Housekeeping,Maintenance
186,"2018-03-09 19:43:47.682952",NULL,Appliances,Temperature,Housekeeping,Maintenance
187,"2018-03-09 19:44:59.400999",NULL,"Bathroom Fittings",Integrity/Maintenance,Housekeeping,Maintenance
188,"2018-03-09 19:47:30.776126",NULL,Hotel,Location,Hotel,Hotel
189,"2018-03-09 19:44:04.941429",NULL,Quality,Location,Hotel,Hotel
190,"2018-03-09 19:44:06.127007",NULL,Staff,Location,Hotel,Hotel
191,"2018-03-09 20:01:11.247712",NULL,Bed,Adequacy,Housekeeping,Offering
192,"2018-03-09 19:45:00.698057",NULL,Room,Efficiency,Hotel,Hotel
193,"2018-03-09 19:44:20.438494",NULL,Services,Adequacy,Hotel,Hotel
194,"2018-03-09 19:45:27.933953",NULL,Integrity/Maintenance,Quality,Hotel,Hotel
197,"2018-03-09 19:44:40.218063",NULL,Linen,Integrity/Maintenance,Housekeeping,"Room Making"
198,"2018-03-09 19:44:41.427214",NULL,Ambience,Courtesy,Hotel,Hotel
199,"2018-03-09 19:44:41.826094",NULL,Ambience,Noise,Hotel,Hotel
200,"2018-03-09 19:44:46.605801",NULL,Food,Theft,"Food & Beverage",Service
201,"2018-03-09 19:44:50.589714",NULL,"Phone Call",Ambience,Hotel,Hotel
202,"2018-03-09 19:44:50.988485",NULL,"Phone Call",Efficiency,Hotel,Hotel
203,"2018-03-09 19:45:11.742054",NULL,Pricing,Quality,"Front Office","Billing & Payment"
204,"2018-03-09 19:47:17.555425",NULL,Courtesy,Ambience,Hotel,Hotel
205,"2018-03-09 19:47:17.955200",NULL,Courtesy,Efficiency,Hotel,Hotel
206,"2018-03-09 19:47:27.155156",NULL,Bed,Courtesy,Hotel,Hotel
207,"2018-03-09 19:47:27.552667",NULL,Adequacy,Courtesy,Hotel,Hotel
208,"2018-03-09 19:47:27.967352",NULL,"Id Card",Readiness,Hotel,Hotel
209,"2018-03-09 19:45:04.631881",NULL,Location,Quality,Hotel,Hotel
227,"2018-03-09 20:01:26.914911",NULL,"Bathroom Fittings",Cleanliness,Housekeeping,"Room Making"
230,"2018-03-09 19:47:31.976885",NULL,Furnishings,Cleanliness,Housekeeping,"Room Making"
252,"2018-03-10 10:18:27.569749",NULL,Hotel,Quality,Hotel,Offering
256,"2018-03-10 10:18:33.264153",NULL,Hotel,Ambience,Housekeeping,Offering
275,"2018-03-10 10:29:29.883632",NULL,Linen,Quality,Housekeeping,Offering
276,"2018-03-10 10:29:31.213229",NULL,Room,Quality,Housekeeping,Offering
284,"2018-03-10 10:29:42.013119",NULL,Hotel,Location,"Front Office",Offering
307,"2018-03-10 10:30:09.899591",NULL,Pricing,Value,"Front Office","Billing & Payment"
308,"2018-03-10 10:30:11.290261",NULL,Beverage,Availability,"Food & Beverage","Food Production"
331,"2018-03-10 10:30:36.406560",NULL,Staff,Quality,"Front Office",Service
350,"2018-03-10 10:30:58.700858",NULL,"Water Supply",Availability,Housekeeping,Maintenance
369,"2018-03-10 10:31:21.769625",NULL,Appliances,Availability,Housekeeping,Offering
373,"2018-03-10 10:31:26.317374",NULL,Pricing,Accuracy,"Front Office","Billing & Payment"
378,"2018-03-10 10:31:32.973233",NULL,Room,Efficiency,"Front Office",Service
379,"2018-03-10 10:31:34.292817",NULL,Staff,Availability,Hotel,Service
383,"2018-03-10 10:31:38.443081",NULL,Check-In,Courtesy,"Front Office",Check-in/Check-out
422,"2018-03-10 10:32:24.356118",NULL,Bathroom,Quality,Housekeeping,Offering
423,"2018-03-10 10:32:25.287493",NULL,Furnishing,Quality,Housekeeping,Offering
435,"2018-03-10 10:32:38.172154",NULL,"Power Supply",Availability,"Front Office",Maintenance
470,"2018-03-10 10:33:17.688570",NULL,Amenities,Accuracy,Housekeeping,"Room Making"
472,"2018-03-10 10:33:19.972494",NULL,Beverage,Accuracy,"Food & Beverage",Service
483,"2018-03-10 10:33:32.592233",NULL,Amenities,Quality,Housekeeping,Offering
488,"2018-03-10 10:33:38.048946",NULL,Hotel,Value,"Front Office",Offering
497,"2018-03-10 10:33:48.473022",NULL,Exterior,Quality,Hotel,Offering
499,"2018-03-10 10:33:50.750772",NULL,Restaurant,Quality,"Food & Beverage",Offering
516,"2018-03-10 10:34:08.684750",NULL,Appliances,Recommendation,Housekeeping,Offering
576,"2018-03-10 10:41:34.252406",NULL,Pricing,Value,"Food & Beverage",Offering
582,"2018-03-10 10:41:41.805884",NULL,Amenities,Efficiency,Housekeeping,Service
596,"2018-03-15 09:14:00.329777",NULL,Billing,Accuracy,"Front Office","Billing & Payment"
601,"2018-03-19 08:16:43.416876",NULL,Staff,Efficiency,Housekeeping,Service
604,"2018-03-20 09:51:54.246852",NULL,"Fittings & Fixtures",Integrity/Maintenance,Housekeeping,Maintenance
605,"2018-03-20 10:16:04.646101",NULL,Bed,Integrity/Maintenance,Housekeeping,Maintenance
606,"2018-03-20 10:26:52.900883",NULL,Restaurant,"Pest Control",Housekeeping,"Public Areas"
607,"2018-03-20 10:30:17.520877",NULL,"Power Supply",Integrity/Maintenance,"Front Office",Maintenance
610,"2018-03-23 05:12:56.194143",NULL,Hotel,Cleanliness,Housekeeping,"Public Areas"
611,"2018-03-23 10:29:31.245504",NULL,Staff,Quality,Hotel,Offering
612,"2018-03-23 10:33:54.006540",NULL,Staff,Courtesy,Hotel,Offering
613,"2018-03-23 10:48:51.211941",NULL,Hotel,Quality,Hotel,Service
620,"2018-03-23 17:49:58.502614",NULL,Amenities,Availability,Housekeeping,Offering
624,"2018-03-24 08:12:17.625234",NULL,Staff,Accuracy,"Food & Beverage",Service
625,"2018-03-24 08:12:38.030632",NULL,Staff,Accuracy,Hotel,Service
626,"2018-03-27 09:21:03.315924",NULL,Staff,Efficiency,"Front Office",Check-in/Check-out
627,"2018-03-29 09:49:29.802864",NULL,Amenities,Value,Housekeeping,Offering
628,"2018-04-03 04:43:58.296102",NULL,Staff,Efficiency,Hotel,Service
630,"2018-04-04 04:30:19.758184",NULL,Room,Adequacy,Housekeeping,Offering
635,"2018-04-06 16:13:58.750224",NULL,Amenities,Value,Hotel,Offering
636,"2018-04-06 16:14:03.470700",NULL,Internet,Efficiency,"Front Office",IT
639,"2018-04-06 16:14:18.793121",NULL,Elevator,Integrity/Maintenance,"Front Office",Maintenance
645,"2018-04-06 16:14:46.753653",NULL,Appliances,Integrity/Maintenance,Housekeeping,Offering
651,"2018-04-06 16:15:18.444126",NULL,Surfaces,Cleanliness,Housekeeping,"Public Areas"
663,"2018-04-06 16:16:14.981497",NULL,Staff,Adequacy,Hotel,Service
682,"2018-04-06 16:17:48.425700",NULL,Hotel,Integrity/Maintenance,Hotel,Maintenance
694,"2018-04-06 16:18:48.308956",NULL,Appliances,Quality,Housekeeping,Offering
703,"2018-04-06 16:19:30.086455",NULL,Bathroom,Adequacy,Hotel,Offering
711,"2018-04-06 16:20:08.274739",NULL,Room,Ambience,Housekeeping,Offering
712,"2018-04-06 16:20:13.925612",NULL,Appliances,Integrity/Maintenance,"Front Office",Maintenance
731,"2018-04-06 16:21:43.693364",NULL,Billing,Availability,"Front Office","Billing & Payment"
736,"2018-04-06 16:22:05.572214",NULL,Hotel,Ambience,Hotel,Offering
746,"2018-04-06 16:22:51.814970",NULL,Furnishing,Adequacy,Housekeeping,Offering
750,"2018-04-06 16:23:10.853173",NULL,Linen,Cleanliness,Housekeeping,Offering
753,"2018-04-06 16:23:24.208239",NULL,Hotel,Quality,"Food & Beverage",Offering
765,"2018-04-06 16:24:17.202996",NULL,Beverage,Quality,"Food & Beverage",Offering
770,"2018-04-06 16:24:41.366485",NULL,Beverage,Value,"Food & Beverage",Offering
773,"2018-04-06 16:24:55.503736",NULL,Menu,Value,"Food & Beverage",Offering
774,"2018-04-06 16:24:59.811456",NULL,Wifi,Quality,"Front Office",Offering
785,"2018-04-06 16:25:50.824086",NULL,Internet,Quality,"Front Office",Offering
788,"2018-04-06 16:26:04.722915",NULL,Staff,Quality,"Food & Beverage",Service
804,"2018-04-06 16:27:22.102242",NULL,Billing,Value,"Front Office","Billing & Payment"
808,"2018-04-06 16:27:37.904210",NULL,Elevator,Availability,Hotel,Offering
809,"2018-04-06 16:27:42.583835",NULL,Staff,Availability,"Front Office",Service
810,"2018-04-06 16:27:47.472393",NULL,Internet,Integrity/Maintenance,"Front Office",Offering
813,"2018-04-06 16:28:01.643217",NULL,Amenities,Accuracy,Housekeeping,Offering
816,"2018-04-06 16:28:13.082948",NULL,Check-In,Quality,"Front Office",Check-in/Check-out
825,"2018-04-06 16:28:53.557889",NULL,Menu,Availability,"Food & Beverage",Offering
830,"2018-04-06 16:29:16.814668",NULL,Staff,Accuracy,"Food & Beverage",Offering
831,"2018-04-06 16:29:19.978345",NULL,Staff,Accuracy,"Front Office",Offering
838,"2018-04-06 16:29:52.017813",NULL,Hotel,Location,Hotel,Offering
840,"2018-04-06 16:30:01.632565",NULL,Menu,Adequacy,"Food & Beverage",Offering
841,"2018-04-06 16:30:06.362206",NULL,Staff,Efficiency,"Food & Beverage",Service
848,"2018-04-06 16:30:38.551304",NULL,Food,Accuracy,"Food & Beverage","Food Production"
852,"2018-04-06 16:30:57.358008",NULL,Room,Comfort,Hotel,Offering
853,"2018-04-06 16:31:02.628787",NULL,Menu,Adequacy,"Food & Beverage","Food Production"
854,"2018-04-06 16:31:07.075085",NULL,Beverage,Quality,"Food & Beverage","Food Production"
874,"2018-04-06 16:32:37.295034",NULL,Food,Availability,"Food & Beverage",Offering
875,"2018-04-06 16:32:42.083456",NULL,Check-Out,Efficiency,"Front Office",Check-in/Check-out
876,"2018-04-06 16:32:46.315398",NULL,Billing,Efficiency,"Front Office","Billing & Payment"
879,"2018-04-06 16:33:00.444836",NULL,"Water Supply",Integrity/Maintenance,Housekeeping,Maintenance
881,"2018-04-06 16:33:10.057153",NULL,Staff,Availability,"Food & Beverage",Service
885,"2018-04-06 16:33:26.645869",NULL,Staff,Courtesy,Housekeeping,Service
886,"2018-04-06 16:33:32.129598",NULL,Food,Value,"Food & Beverage",Offering
892,"2018-04-06 16:33:59.688215",NULL,Food,Variety,"Food & Beverage",Offering
908,"2018-04-06 16:35:11.271283",NULL,Hotel,Cleanliness,Hotel,"Public Areas"
913,"2018-04-06 16:35:35.603810",NULL,Check-In,Value,"Front Office",Check-in/Check-out
914,"2018-04-06 16:35:40.272056",NULL,Check-Out,Value,"Front Office",Check-in/Check-out
917,"2018-04-06 16:35:54.937805",NULL,Food,Efficiency,"Food & Beverage",Service
927,"2018-04-06 16:36:42.953031",NULL,Beverage,Availability,"Food & Beverage",Offering
928,"2018-04-06 16:36:48.914539",NULL,Food,Adequacy,"Food & Beverage",Offering
934,"2018-04-07 05:33:35.962621",NULL,Drain,Integrity/Maintenance,Housekeeping,Maintenance
935,"2018-04-07 06:45:50.390612",NULL,Appliances,Availability,Hotel,Offering
939,"2018-04-09 08:16:22.324882",NULL,"Power Supply",Availability,Hotel,Maintenance
940,"2018-04-10 04:45:22.967969",NULL,Booking,Location,"Front Office",Reservation
942,"2018-04-11 10:42:25.366878",NULL,Hotel,Cleanliness,Housekeeping,"Public Area"
949,"2018-04-24 04:21:24.213713",NULL,Exterior,Adequacy,Hotel,"Public Area"
951,"2018-04-24 05:56:41.671563",NULL,"Phone Call",Accuracy,"Front Office","Front Desk"
954,"2018-04-24 06:22:59.843239",NULL,Laundry,Availability,Housekeeping,Offering
955,"2018-04-24 06:24:17.816563",NULL,Elevator,Integrity/Maintenance,Hotel,Maintenance
958,"2018-04-24 06:37:01.677010",NULL,"Drinking Water",Quality,"Food & Beverage",Offering
959,"2018-05-02 07:08:40.768510",NULL,Hotel,Adequacy,Hotel,Offering
961,"2018-05-02 07:08:45.445481",NULL,User-Experience,Quality,Hotel,Service
964,"2018-05-02 07:08:51.335023",NULL,Bathroom,Cleanliness,Housekeeping,"Room Making"
966,"2018-05-02 07:08:57.650597",NULL,Staff,Courtesy,Hotel,Service
969,"2018-05-02 07:09:03.981039",NULL,Surfaces,Cleanliness,Housekeeping,"Room Making"
971,"2018-05-02 07:09:08.179971",NULL,Room,Cleanliness,Housekeeping,"Room Making"
972,"2018-05-02 07:09:10.937245",NULL,Appliances,Integrity/Maintenance,Housekeeping,Maintenance
973,"2018-05-02 07:14:49.255997",NULL,Staff,Courtesy,"Front Office","Check-In & Check-Out"
974,"2018-05-02 07:14:55.016482",NULL,Drinking-Water,Quality,Housekeeping,"Room Making"
975,"2018-05-02 07:15:01.084296",NULL,User-Experience,Value,Hotel,Service
976,"2018-05-02 07:15:06.361957",NULL,Room,Recommendation,Hotel,Offering
979,"2018-05-02 07:15:38.868885",NULL,Bed,Accuracy,"Front Office",Offering
980,"2018-05-02 07:15:40.839964",NULL,Room,Availability,"Front Office",Offering
982,"2018-05-02 07:16:00.500403",NULL,Bed,Cleanliness,Housekeeping,"Room Making"
983,"2018-05-02 07:16:02.345130",NULL,Linen,Quality,Housekeeping,"Room Making"
